WLMEAS.pro for PN em line positions 31-May-2013 12:50:17.00
 ROOT      STAR   GRAT X_0-ORD Y_0-ORD ORD    9071    9535   10832   12821   16113   16411
ibbu01agq VY2-2   G102  408.93  915.05  1   762.09  780.50  832.24    0.00    0.00    0.00
ibbu01akq VY2-2   G102    0.00    0.00  1   230.08  248.89  301.83    0.00    0.00    0.00
ibbu01akq VY2-2   G102    0.00    0.00  2   590.83  628.15  733.13    0.00    0.00    0.00
ibbu01anq VY2-2   G102  406.74  548.95  1   767.43  786.39  839.17    0.00    0.00    0.00
ibbu01aqq VY2-2   G102    0.00    0.00  1   230.44  249.75  303.86    0.00    0.00    0.00
ibbu01aqq VY2-2   G102    0.00    0.00  2   599.62  637.78  745.29    0.00    0.00    0.00
ibbu01auq VY2-2   G102   83.91  173.99  1   453.32  472.44  526.34    0.00    0.00    0.00
ibbu01auq VY2-2   G102   83.91  173.99  2   822.92  861.12  968.70    0.00    0.00    0.00
ibbu01axq VY2-2   G102  403.81  174.34  1   772.85  792.24  846.24    0.00    0.00    0.00
ibbu02tyq VY2-2   G141  154.22  552.28  1     0.00    0.00  382.05  424.41  494.60  501.17
ibbu02tyq VY2-2   G141  154.22  552.28  2     0.00    0.00  609.57  693.96    0.00    0.00
ibbu02tzq VY2-2   G141  150.71  556.33  1     0.00    0.00  378.35  420.67  491.00  497.41
ibbu02tzq VY2-2   G141  150.71  556.33  2     0.00    0.00  605.87  690.21    0.00    0.00
ibbu02u0q VY2-2   G141  146.96  560.69  1     0.00    0.00  374.49  416.97  487.18  493.74
ibbu02u0q VY2-2   G141  146.96  560.69  2     0.00    0.00  602.26  686.43    0.00    0.00
ibbu02u1q VY2-2   G141  145.40  562.17  1     0.00    0.00  373.13  415.48  485.65  492.23
ibbu02u1q VY2-2   G141  145.40  562.17  2     0.00    0.00  600.56  684.90    0.00    0.00
ibbu02u5q VY2-2   G141    0.00    0.00  1     0.00    0.00  162.03  203.61  272.32  278.82
ibbu02u5q VY2-2   G141    0.00    0.00  2     0.00    0.00  385.05  467.44    0.00    0.00
ibbu02uyq VY2-2   G141  158.14  918.40  1     0.00    0.00  381.03  422.60  491.23  497.59
ibbu02uyq VY2-2   G141  158.14  918.40  2     0.00    0.00  603.72  686.35    0.00    0.00
ibbu02v2q VY2-2   G141  471.93  918.64 -1     0.00    0.00  248.15  208.04  140.74  135.24
ibbu02v2q VY2-2   G141  471.93  918.64  1     0.00    0.00  694.83  736.22  805.23  811.57
ibbu02v2q VY2-2   G141  471.93  918.64  2     0.00    0.00  918.09 1000.97    0.00    0.00
ibbu02v5q VY2-2   G141    0.00    0.00  1     0.00    0.00  161.16  203.59  273.89  280.39
ibbu02v5q VY2-2   G141    0.00    0.00  2     0.00    0.00  388.93  473.14    0.00    0.00
ibbu02v9q VY2-2   G141  470.98  552.67 -1     0.00    0.00  242.41  201.32  133.20  126.61
ibbu02v9q VY2-2   G141  470.98  552.67  1     0.00    0.00  698.46  741.01  811.45  817.97
ibbu02vcq VY2-2   G141    0.00    0.00  1     0.00    0.00  160.04  203.45  275.49  282.07
ibbu02vcq VY2-2   G141    0.00    0.00  2     0.00    0.00  393.18  479.26    0.00    0.00
ibbu02vgq VY2-2   G141  149.96  177.98  1     0.00    0.00  383.01  426.36  498.26  504.83
ibbu02vgq VY2-2   G141  149.96  177.98  2     0.00    0.00  615.82  702.12    0.00    0.00
ibbu02vjq VY2-2   G141  469.73  178.27 -1     0.00    0.00  235.91  193.91  124.13  117.30
ibbu02vjq VY2-2   G141  469.73  178.27  1     0.00    0.00  702.41  745.90  818.13  824.73
ic5v02aaq VY2-2-C G102   89.02  555.21  1   450.41  469.18  521.63    0.00    0.00    0.00
ic5v02aaq VY2-2-C G102   89.02  555.21  2   811.53  848.70  953.31    0.00    0.00    0.00
ic5v02abq VY2-2-C G102   85.33  559.55  1   446.62  465.51  517.85    0.00    0.00    0.00
ic5v02abq VY2-2-C G102   85.33  559.55  2   807.62  844.94  949.54    0.00    0.00    0.00
ic5v02acq VY2-2-C G102   81.79  563.66  1   442.96  461.67  514.03    0.00    0.00    0.00
ic5v02acq VY2-2-C G102   81.79  563.66  2   803.82  841.18  945.72    0.00    0.00    0.00
ic5v02adq VY2-2-C G102   80.29  565.15  1   441.55  460.34  512.70    0.00    0.00    0.00
ic5v02adq VY2-2-C G102   80.29  565.15  2   802.47  839.60  944.16    0.00    0.00    0.00
ic5v02ahq VY2-2-C G102   95.29  921.96  1   449.07  467.52  518.78    0.00    0.00    0.00
ic5v02ahq VY2-2-C G102   95.29  921.96  2   802.55  839.07  941.37    0.00    0.00    0.00
ic5v02akq VY2-2-C G102   82.06  180.57  1   451.62  470.79  524.60    0.00    0.00    0.00
ic5v02akq VY2-2-C G102   82.06  180.57  2   821.10  859.26  966.18    0.00    0.00    0.00
ic5v41ayq VY2-2-C G141  153.29  559.15  1     0.00    0.00  381.10  423.60  493.98  500.38
ic5v41ayq VY2-2-C G141  153.29  559.15  2     0.00    0.00  608.67  693.17    0.00    0.00
ic5v41azq VY2-2-C G141  149.82  563.22  1     0.00    0.00  377.65  419.99  490.36  496.59
ic5v41azq VY2-2-C G141  149.82  563.22  2     0.00    0.00  604.99  689.40    0.00    0.00
ic5v41b0q VY2-2-C G141  146.07  567.52  1     0.00    0.00  373.90  416.36  486.59  492.97
ic5v41b0q VY2-2-C G141  146.07  567.52  2     0.00    0.00  601.39  685.59    0.00    0.00
ic5v41b1q VY2-2-C G141  144.79  569.05  1     0.00    0.00  372.24  414.80  485.14  491.45
ic5v41b1q VY2-2-C G141  144.79  569.05  2     0.00    0.00  599.72  684.19    0.00    0.00
ic5v41b5q VY2-2-C G141  158.57  925.35  1     0.00    0.00  381.25  423.02  491.85  498.05
ic5v41b5q VY2-2-C G141  158.57  925.35  2     0.00    0.00  604.26  686.85    0.00    0.00
ic5v41b8q VY2-2-C G141  147.93  184.69  1     0.00    0.00  380.95  424.48  496.47  502.85
ic5v41b8q VY2-2-C G141  147.93  184.69  2     0.00    0.00  613.67  700.14    0.00    0.00
ic6905bhq PN-G045 G141  758.47  130.68 -1     0.00    0.00  524.25  482.27  412.00  406.04
ic6905biq PN-G045 G102  692.79  126.31 -1   321.13  302.69  250.36    0.00    0.00    0.00
ic6905bkq PN-G045 G141  758.72  381.81 -1     0.00    0.00  527.88  486.53  417.22  411.37
ic6905bmq PN-G045 G102  693.75  377.90 -1   327.87  309.56  258.25    0.00    0.00    0.00
ic6905boq PN-G045 G141  758.01  953.45 -1     0.00    0.00  534.98  495.01  428.39  422.34
ic6905bqq PN-G045 G102  695.20  949.95 -1   341.56  323.88  274.04    0.00    0.00    0.00
ic6906bzq PN-G045 G141  612.38  954.91 -1     0.00    0.00  389.30  349.32  282.00  276.61
ic6906bzq PN-G045 G141  612.38  954.91  1     0.00    0.00  835.00  876.46  945.55  951.81
ic6906c0q PN-G045 G102  549.77  951.17 -1   195.83  178.07  128.40    0.00    0.00    0.00
ic6906c0q PN-G045 G102  549.77  951.17  1   902.20  920.66  972.46    0.00    0.00    0.00
ic6906c2q PN-G045 G141  612.00  712.11 -1     0.00    0.00  385.58  345.13  277.65  271.29
ic6906c2q PN-G045 G141  612.00  712.11  1     0.00    0.00  837.40  879.65  949.85  956.24
ic6906c4q PN-G045 G102  548.21  708.29 -1   189.39  171.35  120.99    0.00    0.00    0.00
ic6906c4q PN-G045 G102  548.21  708.29  1   905.88  924.56  977.15    0.00    0.00    0.00
ic6906c6q PN-G045 G141  609.99  131.78 -1     0.00    0.00  375.55  333.52  263.61  257.14
ic6906c6q PN-G045 G141  609.99  131.78  1     0.00    0.00  843.47  887.37  959.90  966.46
ic6906c8q PN-G045 G102  544.02  127.67 -1   172.26  153.74  101.45    0.00    0.00    0.00
ic6906c8q PN-G045 G102  544.02  127.67  1   914.44  933.67  988.17    0.00    0.00    0.00
ic6907cfq PN-G045 G141  415.00  140.11 -1     0.00    0.00  180.45  138.39   68.00   61.95
ic6907cfq PN-G045 G141  415.00  140.11  1     0.00    0.00  648.24  691.81  764.25  770.72
